127.0.0.1 - - [29/Apr/2023:14:28:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:28:54 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:28:54 +0530] "GET /Crime_Report/siteImages/logo22.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:28:54 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:28:54 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:28:54 +0530] "GET /Crime_Report/siteImages/cool.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:28:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:37 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:38 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:38 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:38 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:39 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:39 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:53 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:53 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:53 +0530] "GET /Crime_Report/siteImages/logo22.png HTTP/1.1" 200 55591
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:53 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:29:53 +0530] "GET /Crime_Report/siteImages/cool.png HTTP/1.1" 200 187064
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:30:17 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:31:28 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:31:52 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:31:53 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:31:53 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:31:54 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:31:54 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:06 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:06 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:06 +0530] "GET /Crime_Report/siteImages/logo22.png HTTP/1.1" 200 55591
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:06 +0530] "GET /Crime_Report/siteImages/cool.png HTTP/1.1" 200 187064
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:53 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:54 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:32:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:33:40 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:33:40 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:33:40 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:33:41 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:33:43 +0530] "GET /Crime_Report/menu.jsp HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:33:43 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:34:11 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:34:11 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:38 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:38 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:38 +0530] "GET /Crime_Report/siteImages/logo22.png HTTP/1.1" 200 55591
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:38 +0530] "GET /Crime_Report/siteImages/cool.png HTTP/1.1" 200 187064
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:39 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:39 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:40 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:40 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:35:40 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:49 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:49 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:49 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:49 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:49 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:49 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:50 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:50 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:50 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:37:50 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:38:21 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:38:21 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:38:21 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:38:52 +0530] "POST /Crime_Report/recover.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:39:26 +0530] "POST /Crime_Report/recover.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:39:31 +0530] "POST /Crime_Report/recover.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:20 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:20 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:20 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:21 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:21 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:21 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:21 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:21 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:21 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:30 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:41:30 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:42:30 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:42:30 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:42:30 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:42:30 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:42:30 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:26 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:26 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:26 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
