127.0.0.1 - - [20/May/2023:17:50:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:41 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:41 +0530] "GET /Crime_Report/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:41 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:41 +0530] "GET /Crime_Report/siteImages/Crimelogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:41 +0530] "GET /Crime_Report/siteImages/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:52 +0530] "GET /Crime_Report/login.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:52 +0530] "GET /Crime_Report/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:52 +0530] "GET /Crime_Report/JavaScript/prog1.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:52 +0530] "GET /Crime_Report/siteImages/blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:50:59 +0530] "POST /Crime_Report/Validatelogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:00 +0530] "GET /Crime_Report/Admin.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:00 +0530] "GET /Crime_Report/css/registerinci.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:07 +0530] "GET /Crime_Report/ComplainResponse.jsp HTTP/1.1" 200 9697
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:07 +0530] "GET /Crime_Report/css/complainres.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=23 HTTP/1.1" 500 2142
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=21 HTTP/1.1" 500 6877
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=22 HTTP/1.1" 500 41729
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=25 HTTP/1.1" 500 7437
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=20 HTTP/1.1" 500 4745765
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=30 HTTP/1.1" 500 41729
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=19 HTTP/1.1" 500 5517
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=24 HTTP/1.1" 500 7243
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=18 HTTP/1.1" 500 5333
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=27 HTTP/1.1" 500 13023
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=29 HTTP/1.1" 500 41729
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=26 HTTP/1.1" 500 13023
0:0:0:0:0:0:0:1 - - [20/May/2023:17:51:08 +0530] "GET /Crime_Report/showEvidence.jsp?cid=28 HTTP/1.1" 500 7437
0:0:0:0:0:0:0:1 - - [20/May/2023:17:56:14 +0530] "GET /Crime_Report/index.jsp HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [20/May/2023:17:56:17 +0530] "GET /Crime_Report/crimestatics.jsp HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [20/May/2023:17:56:17 +0530] "GET /Crime_Report/JavaScript/Proj1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:17:56:17 +0530] "GET /Crime_Report/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2023:18:02:48 +0530] "GET /Crime_Report/PopulateCity.jsp?sname=Uttar%20Pradesh HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/May/2023:18:02:50 +0530] "GET /Crime_Report/ShowCrimeStats.jsp?sname=Uttar%20Pradesh&cname=Lucknow HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [20/May/2023:18:04:19 +0530] "GET /Crime_Report/index.jsp HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [20/May/2023:18:04:26 +0530] "GET /Crime_Report/areawisecrime.jsp HTTP/1.1" 200 3512
